nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
20000,1.0,0.01,1.0,0.7,0.5,0.07,6.81,22.06
20000,1.0,0.01,1.0,0.7,0.5,0.1,6.86,22.02
20000,1.0,0.01,1.0,0.7,0.382,0.01,8.17,70.14
20000,1.0,0.01,1.0,0.7,0.382,0.03,8.79,67.3
20000,1.0,0.01,1.0,0.7,0.382,0.05,8.29,61.53
20000,1.0,0.01,1.0,0.7,0.382,0.07,8.01,57.14
20000,1.0,0.01,1.0,0.7,0.382,0.1,7.69,54.99
20000,1.0,0.01,1.0,0.7,0.2,0.01,9.58,86.89
20000,1.0,0.01,1.0,0.7,0.2,0.03,8.95,79.71
20000,1.0,0.01,1.0,0.7,0.2,0.05,8.89,79.02
20000,1.0,0.01,1.0,0.7,0.2,0.07,8.84,78.88
20000,1.0,0.01,1.0,0.7,0.2,0.1,8.77,75.63
20000,1.0,0.01,1.0,0.7,0.1,0.01,8.86,88.24
20000,1.0,0.01,1.0,0.7,0.1,0.03,8.85,80.17
20000,1.0,0.01,1.0,0.7,0.1,0.05,8.52,76.19
20000,1.0,0.01,1.0,0.7,0.1,0.07,8.56,74.4
20000,1.0,0.01,1.0,0.7,0.1,0.1,8.58,74.4
20000,1.0,0.01,1.0,0.8,0.9,0.01,6.97,14.03
20000,1.0,0.01,1.0,0.8,0.9,0.03,6.82,14.18
20000,1.0,0.01,1.0,0.8,0.9,0.05,6.85,14.15
20000,1.0,0.01,1.0,0.8,0.9,0.07,7.05,13.95
20000,1.0,0.01,1.0,0.8,0.9,0.1,6.85,14.15
20000,1.0,0.01,1.0,0.8,0.786,0.01,7.04,13.96
20000,1.0,0.01,1.0,0.8,0.786,0.03,6.82,14.18
20000,1.0,0.01,1.0,0.8,0.786,0.05,6.81,14.19
20000,1.0,0.01,1.0,0.8,0.786,0.07,6.87,14.13
20000,1.0,0.01,1.0,0.8,0.786,0.1,6.86,14.14
20000,1.0,0.01,1.0,0.8,0.618,0.01,6.89,24.63
20000,1.0,0.01,1.0,0.8,0.618,0.03,6.98,22.08
20000,1.0,0.01,1.0,0.8,0.618,0.05,6.78,18.49
20000,1.0,0.01,1.0,0.8,0.618,0.07,6.92,14.67
20000,1.0,0.01,1.0,0.8,0.618,0.1,6.91,14.09
20000,1.0,0.01,1.0,0.8,0.5,0.01,6.98,48.73
20000,1.0,0.01,1.0,0.8,0.5,0.03,7.01,41.01
20000,1.0,0.01,1.0,0.8,0.5,0.05,7.0,36.46
20000,1.0,0.01,1.0,0.8,0.5,0.07,7.08,33.62
20000,1.0,0.01,1.0,0.8,0.5,0.1,6.97,31.88
20000,1.0,0.01,1.0,0.8,0.382,0.01,7.26,61.89
20000,1.0,0.01,1.0,0.8,0.382,0.03,7.05,54.56
20000,1.0,0.01,1.0,0.8,0.382,0.05,6.85,49.75
20000,1.0,0.01,1.0,0.8,0.382,0.07,7.14,45.53
20000,1.0,0.01,1.0,0.8,0.382,0.1,6.96,46.58
20000,1.0,0.01,1.0,0.8,0.2,0.01,6.98,72.0
20000,1.0,0.01,1.0,0.8,0.2,0.03,6.89,70.54
20000,1.0,0.01,1.0,0.8,0.2,0.05,6.92,70.06
20000,1.0,0.01,1.0,0.8,0.2,0.07,6.97,71.21
20000,1.0,0.01,1.0,0.8,0.2,0.1,7.38,67.46
20000,1.0,0.01,1.0,0.8,0.1,0.01,13.16,96.8
20000,1.0,0.01,1.0,0.8,0.1,0.03,12.61,96.24
