nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps,duration
20000,1.0,0.01,1.0,0.6,0.1,0.07,10.68,97.67,6436.158838033676
20000,1.0,0.01,1.0,0.6,0.1,0.1,6.23,88.19,6485.250039100647
20000,1.0,0.01,1.0,0.7,0.9,0.01,5.63,37.83,6508.6583161354065
20000,1.0,0.01,1.0,0.7,0.9,0.03,6.11,20.66,6525.592164993286
20000,1.0,0.01,1.0,0.7,0.9,0.05,6.1,17.29,6540.468100309372
20000,1.0,0.01,1.0,0.7,0.9,0.07,6.37,18.71,6555.850239038467
20000,1.0,0.01,1.0,0.7,0.9,0.1,5.71,17.42,6570.217589855194
20000,1.0,0.01,1.0,0.7,0.786,0.01,6.86,73.41,6610.054374933243
20000,1.0,0.01,1.0,0.7,0.786,0.03,6.57,64.11,6647.951081752777
20000,1.0,0.01,1.0,0.7,0.786,0.05,6.51,55.17,6680.124924898148
20000,1.0,0.01,1.0,0.7,0.786,0.07,5.8,46.73,6710.091071844101
20000,1.0,0.01,1.0,0.7,0.786,0.1,5.49,62.12,6743.576722621918
20000,1.0,0.01,1.0,0.7,0.618,0.01,8.81,89.85,6793.794148921967
20000,1.0,0.01,1.0,0.7,0.618,0.03,7.95,72.33,6841.293694496155
20000,1.0,0.01,1.0,0.7,0.618,0.05,8.08,85.88,6889.561344623566
20000,1.0,0.01,1.0,0.7,0.618,0.07,5.83,85.96,6936.781151533127
20000,1.0,0.01,1.0,0.7,0.618,0.1,5.57,75.67,6981.925295352936
20000,1.0,0.01,1.0,0.7,0.5,0.01,6.85,77.2,7029.676752567291
20000,1.0,0.01,1.0,0.7,0.5,0.03,9.34,86.16,7077.454845428467
20000,1.0,0.01,1.0,0.7,0.5,0.05,6.71,75.7,7124.522824287415
20000,1.0,0.01,1.0,0.7,0.5,0.07,7.47,95.38,7173.618609666824
20000,1.0,0.01,1.0,0.7,0.5,0.1,8.22,90.89,7222.890725135803
20000,1.0,0.01,1.0,0.7,0.382,0.01,7.58,95.27,7273.418414354324
20000,1.0,0.01,1.0,0.7,0.382,0.03,5.19,73.97,7321.104480981827
20000,1.0,0.01,1.0,0.7,0.382,0.05,8.39,91.7,7373.106720209122
20000,1.0,0.01,1.0,0.7,0.382,0.07,9.04,92.88,7424.9111404418945
20000,1.0,0.01,1.0,0.7,0.382,0.1,4.08,81.23,7474.770866394043
20000,1.0,0.01,1.0,0.7,0.2,0.01,9.8,88.7,7525.992735624313
20000,1.0,0.01,1.0,0.7,0.2,0.03,6.58,76.05,7574.168794155121
20000,1.0,0.01,1.0,0.7,0.2,0.05,12.0,98.69,7627.8385190963745
20000,1.0,0.01,1.0,0.7,0.2,0.07,8.93,92.08,7678.528319597244
20000,1.0,0.01,1.0,0.7,0.2,0.1,0,99.0,7732.424273729324
20000,1.0,0.01,1.0,0.7,0.1,0.01,6.47,70.73,7778.451568841934
20000,1.0,0.01,1.0,0.7,0.1,0.03,2.24,85.03,7827.613468885422
20000,1.0,0.01,1.0,0.7,0.1,0.05,0,99.0,7880.076294660568
20000,1.0,0.01,1.0,0.7,0.1,0.07,8.19,91.52,7933.109095811844
20000,1.0,0.01,1.0,0.7,0.1,0.1,4.92,83.76,7982.412868022919
20000,1.0,0.01,1.0,0.8,0.9,0.01,5.58,36.48,8012.341717004776
20000,1.0,0.01,1.0,0.8,0.9,0.03,4.91,40.36,8038.588171482086
20000,1.0,0.01,1.0,0.8,0.9,0.05,5.72,41.46,8063.443456411362
20000,1.0,0.01,1.0,0.8,0.9,0.07,5.88,33.85,8088.387827396393
20000,1.0,0.01,1.0,0.8,0.9,0.1,5.64,46.29,8114.479591369629
20000,1.0,0.01,1.0,0.8,0.786,0.01,6.61,83.33,8160.627436637878
20000,1.0,0.01,1.0,0.8,0.786,0.03,4.98,88.2,8208.674537420273
20000,1.0,0.01,1.0,0.8,0.786,0.05,4.41,69.57,8251.569494247437
20000,1.0,0.01,1.0,0.8,0.786,0.07,7.23,78.05,8297.612261772156
20000,1.0,0.01,1.0,0.8,0.786,0.1,4.95,48.02,8335.183324098587
20000,1.0,0.01,1.0,0.8,0.618,0.01,8.57,92.78,8386.849600076675
20000,1.0,0.01,1.0,0.8,0.618,0.03,7.67,87.94,8436.98537015915
20000,1.0,0.01,1.0,0.8,0.618,0.05,4.78,88.42,8488.783679008484
20000,1.0,0.01,1.0,0.8,0.618,0.07,6.71,71.53,8535.17207813263
20000,1.0,0.01,1.0,0.8,0.618,0.1,8.21,94.78,8585.968783378601
20000,1.0,0.01,1.0,0.8,0.5,0.01,3.82,90.34,8638.767835617065
20000,1.0,0.01,1.0,0.8,0.5,0.03,6.78,86.74,8690.029927015305
20000,1.0,0.01,1.0,0.8,0.5,0.05,5.57,82.78,8739.040006875992
20000,1.0,0.01,1.0,0.8,0.5,0.07,6.3,88.02,8789.983154773712
20000,1.0,0.01,1.0,0.8,0.5,0.1,6.92,86.34,8841.140887022018
20000,1.0,0.01,1.0,0.8,0.382,0.01,5.39,90.69,8894.417097330093
20000,1.0,0.01,1.0,0.8,0.382,0.03,6.21,92.93,8946.219163656235
20000,1.0,0.01,1.0,0.8,0.382,0.05,8.28,90.32,8996.246942520142
20000,1.0,0.01,1.0,0.8,0.382,0.07,8.76,91.25,9045.509975671768
20000,1.0,0.01,1.0,0.8,0.382,0.1,9.73,94.32,9097.619481801987
20000,1.0,0.01,1.0,0.8,0.2,0.01,11.5,97.76,9151.771942138672
20000,1.0,0.01,1.0,0.8,0.2,0.03,4.61,94.03,9204.174442529678
20000,1.0,0.01,1.0,0.8,0.2,0.05,6.2,89.72,9254.531478404999
20000,1.0,0.01,1.0,0.8,0.2,0.07,5.73,82.36,9304.629245758057
20000,1.0,0.01,1.0,0.8,0.2,0.1,9.02,96.04,9357.278141736984
20000,1.0,0.01,1.0,0.8,0.1,0.01,4.69,77.93,9406.843171358109
20000,1.0,0.01,1.0,0.8,0.1,0.03,4.48,84.45,9456.51579618454
20000,1.0,0.01,1.0,0.8,0.1,0.05,7.57,88.76,9508.530101299286
20000,1.0,0.01,1.0,0.8,0.1,0.07,9.83,91.49,9561.23193025589
20000,1.0,0.01,1.0,0.8,0.1,0.1,5.81,89.24,9613.83933877945
20000,1.0,0.01,1.0,0.9,0.9,0.01,6.34,73.26,9653.125676870346
